Domain,L0,Time Used,Time
app.buyerdeck.com,Work,19,2017-02-13T18:06:04.404Z
app.buyerdeck.com,Work,22,2017-02-13T18:05:39.556Z
mail.google.com,Comms,3,2017-02-13T18:05:34.594Z
app.buyerdeck.com,Work,15,2017-02-13T18:04:52.868Z
app.buyerdeck.com,Work,6,2017-02-13T18:04:46.612Z
app.buyerdeck.com,Work,6,2017-02-13T18:03:59.130Z
app.buyerdeck.com,Work,14,2017-02-13T18:03:45.237Z
app.buyerdeck.com,Work,9,2017-02-13T18:03:35.737Z
app.buyerdeck.com,Work,6,2017-02-13T18:03:30.171Z
mail.google.com,Comms,268,2017-02-13T17:41:19.141Z
mail.google.com,Comms,3,2017-02-13T17:41:15.935Z
mail.google.com,Comms,5,2017-02-13T17:41:11.423Z
mail.google.com,Comms,3,2017-02-13T17:41:08.573Z
mail.google.com,Comms,12,2017-02-13T17:40:56.858Z
mail.google.com,Comms,1,2017-02-13T17:40:55.117Z
mail.google.com,Comms,37,2017-02-13T17:40:11.076Z
mail.google.com,Comms,13,2017-02-13T17:39:57.706Z
mail.google.com,Comms,2,2017-02-13T17:39:56.027Z
accounts.google.com,Find,24,2017-02-13T17:39:32.298Z
accounts.google.com,Find,6,2017-02-13T17:39:25.818Z
online.americanexpress.com,Work,1,2017-02-13T17:38:14.941Z
facebook.com,Social,67,2017-02-13T17:20:14.480Z
wired.com,Read,2,2017-02-13T17:20:12.294Z
wired.com,Read,3,2017-02-13T17:20:09.479Z
nmdrp.me,Other,134,2017-02-13T17:17:51.760Z
facebook.com,Social,209,2017-02-13T17:14:16.771Z
t.co,Social,5,2017-02-13T17:11:34.017Z
fusion.net,Read,12,2017-02-13T17:11:22.048Z
fusion.net,Read,4,2017-02-13T17:11:18.285Z
facebook.com,Social,4,2017-02-13T17:11:11.987Z
facebook.com,Social,2,2017-02-13T17:11:07.453Z
iflscience.com,Find,2,2017-02-13T17:03:01.413Z
iflscience.com,Find,2,2017-02-13T17:02:40.642Z
iflscience.com,Find,45,2017-02-13T17:01:56.102Z
engadget.com,Read,46,2017-02-13T17:01:54.813Z
